zip,zcta,year_match,census_edition,state,is_area,is_self_mapped,is_post_office,info,min_match,max_match,year_matches,zcta_matches
00923,00923,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00924,00924,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00925,00925,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00926,00926,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00927,00927,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00928,00925,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00929,00924,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00930,00923,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00931,00925,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00933,00918,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00934,00934,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00935,00936,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,3
00936,00936,2021,ZCTA5CE20,PR,False,True,True,Zip matches ZCTA,2009,2021,13,1
00937,00979,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,3
00939,00918,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00940,00909,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00949,00949,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00950,00950,2021,ZCTA5CE20,PR,False,True,True,Zip matches ZCTA,2009,2021,13,1
00951,00951,2021,ZCTA5CE20,PR,False,True,True,Zip matches ZCTA,2009,2021,13,1
00952,00952,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00953,00953,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00954,00953,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00955,00921,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00956,00956,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00957,00957,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00958,00957,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00959,00959,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00960,00960,2021,ZCTA5CE20,PR,False,True,True,Zip matches ZCTA,2009,2021,13,1
00961,00961,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00962,00962,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00963,00962,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00965,00965,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00966,00966,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00968,00968,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00969,00969,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00970,00969,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00971,00971,2021,ZCTA5CE20,PR,False,True,True,Zip matches ZCTA,2009,2021,13,1
00975,00917,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00976,00976,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00977,00965,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00978,00976,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00979,00979,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00981,00979,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,3
00982,00982,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00983,00983,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00984,00983,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00985,00985,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00986,00985,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00987,00987,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00988,00987,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,4
01001,01001,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01002,01002,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01003,01003,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01004,01002,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,1
01005,01005,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01007,01007,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01008,01008,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01009,01009,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01010,01010,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01011,01011,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01012,01012,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01013,01013,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01014,01013,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,1
01020,01020,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01021,01020,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,1
01022,01022,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
